ID Loja,Nome da Loja,Quantidade Colaboradores,Tipo,id Localidade,Gerente Loja,Documento Gerente
1,Loja Seattle No.1,17,Física,1,"Gonçalves, João",666418406
2,Loja Seattle No.2,25,Física,1,"Pinheiro, Fernanda",782269727
3,Loja Kennewick,26,Física,1,"Alves, Rodrigo",566476645
4,Loja Bellevue,19,Física,1,"Costa, Raissa",598832615
5,Loja Redmond,33,Física,1,"Monteiro, Felipe",200191505
6,Loja Yakima,47,Física,1,"Lobo, Mariana",258070696
7,Loja Granger,22,Física,1,"Dantas, Vinicius",137257008
8,Loja Sunnyside,17,Física,1,"Koch, Thomaz",148283535
9,Loja Toppenish,25,Física,1,"Guimaraes, Adrielle",757556625
10,Loja Wapato,25,Física,1,"Sobanski, Mariana",772151648
11,Loja Cle Elum,26,Física,1,"Machado, Livia",438015135
13,Loja Snoqualmie,33,Física,1,"Oliva, Bruna",458643508
14,Loja Fall City,47,Física,1,"Pallotta, Andre",293551216
15,Loja Renton,22,Física,1,"Quintana, Victoria",150585293
16,Loja Everett,17,Física,1,"Wancelotti, Luiz",682882258
17,Loja Spokane,25,Física,1,"Amaro, Carolina",216921175
18,Loja Veradale,26,Física,1,"Martins, Aline",550162476
20,Loja Englewood,33,Física,1,"Blanquez, Mylena",622602258
21,Loja Wheat Ridge,47,Física,1,"Santos, Audir",658086597
22,Loja Westminster,22,Física,2,"Andrade, Lucas",398404937
23,Loja Grand Junction,17,Física,1,"Wassem, Átila",283231970
24,Loja New Castle,25,Física,1,"Alves, Vinicius",496323922
25,Loja Greeley No.1,25,Física,1,"Cordeiro, Lucas",391200910
26,Loja Loveland,26,Física,1,"Pretti, Cícero",517979422
27,Loja Lafayette,19,Física,1,"Araújo, Juliana",958599604
28,Loja Castle Rock,33,Física,1,"Cardozo, Vitor",383187294
30,Loja Fort Collins,22,Física,1,"Magalhães, João",710773314
31,Loja Greeley No.2,17,Física,1,"Quintana, Mylena",703600407
32,Loja Milliken,25,Física,1,"Condé, José",656196435
33,Loja Berthoud,26,Física,1,"Rodrigues, Victor",725440447
34,Loja Denver No.1,26,Física,1,"Cotta, Lucas",192837467
35,Loja Denver No.2,19,Física,1,"Silveira, Paulo",126592536
36,Loja Denver No.3,33,Física,1,"Goncalves, Amanda",137497733
37,Loja Boulder,47,Física,1,"Grippe, Jéssica",637536440
38,Loja Thornton,22,Física,1,"Therezo, João",459664769
39,Loja Littleton,17,Física,1,"Andrade, Patrick",820819434
40,Loja Aurora,25,Física,1,"Porto, João",535707685
41,Loja Parker,26,Física,1,"Rossini, Vitor",233971955
42,Loja Green Bay,19,Física,1,"Faccin, Giuseppe",784596643
43,Loja Appleton,33,Física,1,"Pires, Hanna",148808289
44,Loja Menasha,47,Física,1,"Walter, João",350727716
45,Loja Oshkosh,22,Física,1,"Ferreira, Jessica",472025954
46,Loja Fond du Lac,17,Física,1,"Feliciano, Gil",431015240
47,Loja Milwaukee No.1,25,Física,1,"Arruda, Jessica",632618369
49,Loja Milwaukee No.3,26,Física,1,"Favoretto, Jessica",648342376
50,Loja Waukesha No.1,19,Física,1,"Nohara, Lorena",749372644
51,Loja Racine No.1,33,Física,1,"Simões, Aline",441540643
52,Loja Burlington,47,Física,1,"Barbosa, João",442085397
53,Loja East Troy,22,Física,1,"Lemos, Andre",248831332
54,Loja Waukesha No.2,17,Física,1,"Oliveira, Poline",996214585
55,Loja Germantown,25,Física,1,"Braun, Marcelo",676041953
57,Loja Port Washington,26,Física,1,"Diniz, Alberto",213808369
58,Loja Sheboygan,19,Física,1,"Mayer, Rodrigo",457065191
59,Loja Manitowoc,33,Física,1,"Ribeiro, Fernanda",443194701
60,Loja Madison,47,Física,1,"Wiener, Adelino",699395364
61,Loja Oregon,22,Física,1,"Oliva, Roberta",274064609
63,Loja Edgerton,25,Física,1,"Fernandes, Aline",395943763
64,Loja Fort Atkinson,26,Física,1,"Figueira, Fernanda",533133364
65,Loja Racine No.2,19,Física,1,"Junqueira, Roberta",922690535
66,Loja Houston No.1,33,Física,1,"Ferreira, Marcelo",650601944
67,Loja Houston No.2,47,Física,1,"Santana, Eduardo",580812912
68,Loja Houston No.3,22,Física,1,"Martins, Gil",334539089
69,Loja Houston No.4,17,Física,1,"Gonçalves, Carla",291633377
70,Loja Midland,25,Física,1,"Resende, Roberta",815484901
71,Loja Russellville,25,Física,1,"Junqueira, Jéssica",113671049
72,Loja Minden,26,Física,1,"Grecco, Carolina",724498251
73,Loja Shreveport,19,Física,1,"Mello, Juliana",674519288
74,Loja Marshall,33,Física,1,"Fernandes , Bárbara",279794445
75,Loja Longview,47,Física,1,"Amaral, Andre",472995633
76,Loja Beaumont No.1,22,Física,1,"Valverde, Carolina",776364792
77,Loja Orange,17,Física,1,"Gonçalves, Bárbara",397915178
78,Loja Beaumont No.2,25,Física,1,"Araújo, Bárbara",495088235
79,Loja Baytown,26,Física,1,"Gonçalves, Matheus",772206299
